Event	ID	Name			Wwise Object Path	Notes
	651861523	Kulning_Cow_Calls			\UI Sounds\Kulning_Cow_Calls	
	2661066193	Button_A			\UI Sounds\Button_A	
	2661066194	Button_B			\UI Sounds\Button_B	
	2661066195	Button_C			\UI Sounds\Button_C	
	3713975176	Location_Movement			\UI Sounds\Location_Movement	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	61429439	MG 1_UI Sounds_Start Menu 1_Droplet A2_Batch A44_1kHz_16bit	E:\Azeray\Documents\Game Projects\Freelance Initiative\GitHub\Alpine-Song\Goat Game_WwiseProject\.cache\Android\SFX\MG 1_UI Sounds_Start Menu 1_Droplet A2_Batch A44.1kHz_16bit_10C4C929.wem		\Actor-Mixer Hierarchy\UI Sounds\Buttons\MG 1_UI Sounds_Start Menu 1_Droplet A2_Batch A44_1kHz_16bit		11088
	81798956	MG_Location Movement Selection_B7_Batch A44_1kHz_16bit	E:\Azeray\Documents\Game Projects\Freelance Initiative\GitHub\Alpine-Song\Goat Game_WwiseProject\.cache\Android\SFX\MG_Location Movement Selection_B7_Batch A44.1kHz_16bit_10C4C929.wem		\Actor-Mixer Hierarchy\UI Sounds\Location_Movement\LM_Container\MG_Location Movement Selection_B7_Batch A44_1kHz_16bit		243132
	136733918	MG 1_UI Sounds_Start Menu 1_Button A1_Batch A44_1kHz_16bit	E:\Azeray\Documents\Game Projects\Freelance Initiative\GitHub\Alpine-Song\Goat Game_WwiseProject\.cache\Android\SFX\MG 1_UI Sounds_Start Menu 1_Button A1_Batch A44.1kHz_16bit_10C4C929.wem		\Actor-Mixer Hierarchy\UI Sounds\Buttons\MG 1_UI Sounds_Start Menu 1_Button A1_Batch A44_1kHz_16bit		13500
	224519778	MG_Location Movement Selection_B2_Batch A44_1kHz_16bit	E:\Azeray\Documents\Game Projects\Freelance Initiative\GitHub\Alpine-Song\Goat Game_WwiseProject\.cache\Android\SFX\MG_Location Movement Selection_B2_Batch A44.1kHz_16bit_10C4C929.wem		\Actor-Mixer Hierarchy\UI Sounds\Location_Movement\LM_Container\MG_Location Movement Selection_B2_Batch A44_1kHz_16bit		243132
	295614091	MG 1_UI Sounds_Start Menu 1_Droplet A1_Batch A44_1kHz_16bit	E:\Azeray\Documents\Game Projects\Freelance Initiative\GitHub\Alpine-Song\Goat Game_WwiseProject\.cache\Android\SFX\MG 1_UI Sounds_Start Menu 1_Droplet A1_Batch A44.1kHz_16bit_10C4C929.wem		\Actor-Mixer Hierarchy\UI Sounds\Buttons\MG 1_UI Sounds_Start Menu 1_Droplet A1_Batch A44_1kHz_16bit		11168
	323955560	MG_Cow Calls_Placeholders_A2	E:\Azeray\Documents\Game Projects\Freelance Initiative\GitHub\Alpine-Song\Goat Game_WwiseProject\.cache\Android\SFX\MG_Cow Calls_Placeholders_A2_10C4C929.wem		\Actor-Mixer Hierarchy\UI Sounds\Kulning_Cow_Calls\Kulning_Cow_Calls_Sequence\MG_Cow Calls_Placeholders_A2		1367104
	351668025	MG_Location Movement Selection_B5_Batch A44_1kHz_16bit	E:\Azeray\Documents\Game Projects\Freelance Initiative\GitHub\Alpine-Song\Goat Game_WwiseProject\.cache\Android\SFX\MG_Location Movement Selection_B5_Batch A44.1kHz_16bit_10C4C929.wem		\Actor-Mixer Hierarchy\UI Sounds\Location_Movement\LM_Container\MG_Location Movement Selection_B5_Batch A44_1kHz_16bit		243132
	402828529	MG_Location Movement Selection_B3_Batch A44_1kHz_16bit	E:\Azeray\Documents\Game Projects\Freelance Initiative\GitHub\Alpine-Song\Goat Game_WwiseProject\.cache\Android\SFX\MG_Location Movement Selection_B3_Batch A44.1kHz_16bit_10C4C929.wem		\Actor-Mixer Hierarchy\UI Sounds\Location_Movement\LM_Container\MG_Location Movement Selection_B3_Batch A44_1kHz_16bit		243132
	502709689	MG_Location Movement Selection_B6_Batch A44_1kHz_16bit	E:\Azeray\Documents\Game Projects\Freelance Initiative\GitHub\Alpine-Song\Goat Game_WwiseProject\.cache\Android\SFX\MG_Location Movement Selection_B6_Batch A44.1kHz_16bit_10C4C929.wem		\Actor-Mixer Hierarchy\UI Sounds\Location_Movement\LM_Container\MG_Location Movement Selection_B6_Batch A44_1kHz_16bit		243132
	574528283	MG_Cow Calls_Placeholders_A1	E:\Azeray\Documents\Game Projects\Freelance Initiative\GitHub\Alpine-Song\Goat Game_WwiseProject\.cache\Android\SFX\MG_Cow Calls_Placeholders_A1_10C4C929.wem		\Actor-Mixer Hierarchy\UI Sounds\Kulning_Cow_Calls\Kulning_Cow_Calls_Sequence\MG_Cow Calls_Placeholders_A1		1372224
	588619277	MG_Location Movement Selection_B4_Batch A44_1kHz_16bit	E:\Azeray\Documents\Game Projects\Freelance Initiative\GitHub\Alpine-Song\Goat Game_WwiseProject\.cache\Android\SFX\MG_Location Movement Selection_B4_Batch A44.1kHz_16bit_10C4C929.wem		\Actor-Mixer Hierarchy\UI Sounds\Location_Movement\LM_Container\MG_Location Movement Selection_B4_Batch A44_1kHz_16bit		243132
