Event	ID	Name			Wwise Object Path	Notes
	2385628198	Footsteps			\Foley\Footsteps	

Switch Group	ID	Name			Wwise Object Path	Notes
	2547764669	Footsteps_Materials			\Foley\Footsteps_Materials	

Switch	ID	Name	Switch Group			Notes
	2195636714	Dirt	Footsteps_Materials			
	4248645337	Grass	Footsteps_Materials			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	326200082	MG1_Foley_Footsteps_Dirt_A2_Batch A	E:\Azeray\Documents\Game Projects\Freelance Initiative\GitHub\Alpine-Song\Goat Game_WwiseProject\.cache\Mac\SFX\MG1_Foley_Footsteps_Dirt_A2_Batch A_D8D08F6F.wem		\Actor-Mixer Hierarchy\Foley\Footsteps\Footsteps_Materials\Footsteps_Dirt\MG1_Foley_Footsteps_Dirt_A2_Batch A		97672
	358298820	MG 1_Cow Steps_Weeds A8_Batch B	E:\Azeray\Documents\Game Projects\Freelance Initiative\GitHub\Alpine-Song\Goat Game_WwiseProject\.cache\Mac\SFX\MG 1_Cow Steps_Weeds A8_Batch B_10C4C929.wem		\Actor-Mixer Hierarchy\Foley\Footsteps\Footsteps_Materials\Footsteps_Weeds\MG 1_Cow Steps_Weeds A8_Batch B		110656
	440968966	MG1_Foley_Footsteps_Dirt_A3_Batch A	E:\Azeray\Documents\Game Projects\Freelance Initiative\GitHub\Alpine-Song\Goat Game_WwiseProject\.cache\Mac\SFX\MG1_Foley_Footsteps_Dirt_A3_Batch A_8A005AAD.wem		\Actor-Mixer Hierarchy\Foley\Footsteps\Footsteps_Materials\Footsteps_Dirt\MG1_Foley_Footsteps_Dirt_A3_Batch A		91508
	486034750	MG1_Foley_Footsteps_Dirt_A7_Batch A	E:\Azeray\Documents\Game Projects\Freelance Initiative\GitHub\Alpine-Song\Goat Game_WwiseProject\.cache\Mac\SFX\MG1_Foley_Footsteps_Dirt_A7_Batch A_A9FF351D.wem		\Actor-Mixer Hierarchy\Foley\Footsteps\Footsteps_Materials\Footsteps_Dirt\MG1_Foley_Footsteps_Dirt_A7_Batch A		103052
	513554068	MG 1_Cow Steps_Weeds A5_Batch B	E:\Azeray\Documents\Game Projects\Freelance Initiative\GitHub\Alpine-Song\Goat Game_WwiseProject\.cache\Mac\SFX\MG 1_Cow Steps_Weeds A5_Batch B_10C4C929.wem		\Actor-Mixer Hierarchy\Foley\Footsteps\Footsteps_Materials\Footsteps_Weeds\MG 1_Cow Steps_Weeds A5_Batch B		118336
	532426207	MG 1_Cow Steps_Weeds A4_Batch B	E:\Azeray\Documents\Game Projects\Freelance Initiative\GitHub\Alpine-Song\Goat Game_WwiseProject\.cache\Mac\SFX\MG 1_Cow Steps_Weeds A4_Batch B_10C4C929.wem		\Actor-Mixer Hierarchy\Foley\Footsteps\Footsteps_Materials\Footsteps_Weeds\MG 1_Cow Steps_Weeds A4_Batch B		137792
	547876992	MG 1_Cow Steps_Weeds A3_Batch B	E:\Azeray\Documents\Game Projects\Freelance Initiative\GitHub\Alpine-Song\Goat Game_WwiseProject\.cache\Mac\SFX\MG 1_Cow Steps_Weeds A3_Batch B_10C4C929.wem		\Actor-Mixer Hierarchy\Foley\Footsteps\Footsteps_Materials\Footsteps_Weeds\MG 1_Cow Steps_Weeds A3_Batch B		121920
	552271610	MG1_Foley_Footsteps_Dirt_A1_Batch A	E:\Azeray\Documents\Game Projects\Freelance Initiative\GitHub\Alpine-Song\Goat Game_WwiseProject\.cache\Mac\SFX\MG1_Foley_Footsteps_Dirt_A1_Batch A_837DEC9D.wem		\Actor-Mixer Hierarchy\Foley\Footsteps\Footsteps_Materials\Footsteps_Dirt\MG1_Foley_Footsteps_Dirt_A1_Batch A		91852
	673747760	MG 1_Cow Steps_Weeds A6_Batch B	E:\Azeray\Documents\Game Projects\Freelance Initiative\GitHub\Alpine-Song\Goat Game_WwiseProject\.cache\Mac\SFX\MG 1_Cow Steps_Weeds A6_Batch B_10C4C929.wem		\Actor-Mixer Hierarchy\Foley\Footsteps\Footsteps_Materials\Footsteps_Weeds\MG 1_Cow Steps_Weeds A6_Batch B		136128
	753334073	MG1_Foley_Footsteps_Dirt_A8_Batch A	E:\Azeray\Documents\Game Projects\Freelance Initiative\GitHub\Alpine-Song\Goat Game_WwiseProject\.cache\Mac\SFX\MG1_Foley_Footsteps_Dirt_A8_Batch A_69C6AEFE.wem		\Actor-Mixer Hierarchy\Foley\Footsteps\Footsteps_Materials\Footsteps_Dirt\MG1_Foley_Footsteps_Dirt_A8_Batch A		92764
	818902179	MG1_Foley_Footsteps_Dirt_A6_Batch A	E:\Azeray\Documents\Game Projects\Freelance Initiative\GitHub\Alpine-Song\Goat Game_WwiseProject\.cache\Mac\SFX\MG1_Foley_Footsteps_Dirt_A6_Batch A_FCC3E804.wem		\Actor-Mixer Hierarchy\Foley\Footsteps\Footsteps_Materials\Footsteps_Dirt\MG1_Foley_Footsteps_Dirt_A6_Batch A		91480
	905293815	MG1_Foley_Footsteps_Dirt_A5_Batch A	E:\Azeray\Documents\Game Projects\Freelance Initiative\GitHub\Alpine-Song\Goat Game_WwiseProject\.cache\Mac\SFX\MG1_Foley_Footsteps_Dirt_A5_Batch A_D019E916.wem		\Actor-Mixer Hierarchy\Foley\Footsteps\Footsteps_Materials\Footsteps_Dirt\MG1_Foley_Footsteps_Dirt_A5_Batch A		90348
